"customer_id","name","email","churn_type"
1,"Tara Ramos","pinedajill@gmail.com","financial_churn"
2,"Casey Sanders","kimberly26@white-velasquez.biz","financial_churn"
3,"Amanda Fernandez","annapugh@wiggins.biz","active"
4,"Manuel Atkins","webbdavid@hotmail.com","engagement_churn"
5,"Mark Jennings","austin86@hotmail.com","financial_churn"
6,"Lynn Hill","schultzmadeline@espinoza.info","financial_churn"
7,"Christina Hudson","shanetucker@richards.org","engagement_churn"
8,"Richard Harris","jonesdawn@hernandez-andrews.info","financial_churn"
9,"David Torres","tonyfleming@massey.com","active"
10,"Holly Jenkins","kperkins@hotmail.com","active"
11,"Robert Henderson","joshua97@tapia.net","financial_churn"
12,"Brianna Barnes","jrogers@gmail.com","financial_churn"
13,"Julie Griffin","ydillon@yahoo.com","active"
14,"Felicia Allen","james17@yahoo.com","financial_churn"
15,"Matthew Cook","debra35@yahoo.com","active"
16,"Janice Harrington","linda83@keller-ortega.net","engagement_churn"
17,"Rebecca Smith","lbartlett@yahoo.com","financial_churn"
18,"Kendra Mcdowell","nancy27@washington.com","financial_churn"
19,"David Grimes","olsenalexandra@gmail.com","active"
20,"Samantha Barnes","taylortanya@gmail.com","engagement_churn"
21,"Alexandra Calderon","jessica72@gmail.com","financial_churn"
22,"Brianna Owens","hernandezshelby@esparza.com","financial_churn"
23,"Megan Hall","goneill@gmail.com","financial_churn"
24,"Daniel Sanchez","thomasemily@yahoo.com","financial_churn"
25,"Larry Quinn","robertmartin@johnson.com","active"
26,"Kristy Cox","ejarvis@hotmail.com","engagement_churn"
27,"Jasmine Lee","hmorris@hotmail.com","financial_churn"
28,"Austin Allen","baldwinleah@hill-nguyen.info","active"
29,"Jack Reeves","burgessrichard@yahoo.com","financial_churn"
30,"Ronald Jackson","dustin79@gmail.com","engagement_churn"
31,"Michelle Humphrey","jennifer62@walton-kerr.com","financial_churn"
32,"Mr. Eric Henderson III","kenneth54@adkins-cline.com","active"
33,"Peter Sullivan","matthewrasmussen@yahoo.com","financial_churn"
34,"Beverly Zamora","hughesjill@yahoo.com","engagement_churn"
35,"Craig French","carterhunter@hayes.biz","engagement_churn"
36,"Michael Moss","sharonstokes@lopez.net","engagement_churn"
37,"Ryan Cabrera","phillip66@gmail.com","active"
38,"Micheal Evans","pgonzalez@yahoo.com","financial_churn"
39,"Ray Soto","timothy21@yahoo.com","engagement_churn"
40,"Jeremy Ortega","choirobert@davis.com","financial_churn"
41,"Patrick Jones","michelle43@hotmail.com","financial_churn"
42,"Hannah Hurley","nbrooks@hotmail.com","engagement_churn"
43,"Michael Allen","peter00@gmail.com","active"
44,"Darrell Brown","ellismichael@watts-allen.com","financial_churn"
45,"Tyler Williams","hannaabigail@gmail.com","active"
46,"Mr. Joseph English","rgarza@gmail.com","financial_churn"
47,"Michael Butler","angelafisher@lang.net","active"
48,"Daniel Jimenez","lindseydarryl@monroe.com","engagement_churn"
49,"John Brown","amanda76@sims-payne.info","active"
50,"Amanda Hogan","stevensimmons@yahoo.com","active"
51,"Danielle Conner","xthompson@thomas-perez.com","financial_churn"
52,"Ronnie Giles","mary86@brown-ortiz.biz","active"
53,"Hannah Rosario","cwade@howard.com","engagement_churn"
54,"Jessica Brown","vgrant@gmail.com","financial_churn"
55,"Robert Wall","raymond17@dean-luna.com","active"
56,"Clarence Miles","shawn32@hotmail.com","financial_churn"
57,"Shane Taylor","oneilldavid@jackson.com","financial_churn"
58,"Ethan Flores","maddoxryan@price.org","active"
59,"Jennifer Estrada","dustinparker@yahoo.com","active"
60,"Erik Barnes","johnmaldonado@goodman.com","financial_churn"
61,"Rebecca Tate","alexandraclark@farrell.com","active"
62,"Madison Williams","ostevens@brown-davis.com","financial_churn"
63,"Heather Ward","gbrown@hayes-rogers.com","active"
64,"Jay Reyes","manningdebbie@gmail.com","active"
65,"Richard Carroll MD","joshuamartinez@rush-weaver.biz","financial_churn"
66,"Richard Watkins","ojones@nguyen-browning.com","engagement_churn"
67,"Kevin Wilson","jessicahayes@ryan.org","engagement_churn"
68,"Jerry Gutierrez","michellepowers@gmail.com","financial_churn"
69,"Erika Brock","joan54@hotmail.com","active"
70,"James Harvey","leachvirginia@gray.com","active"
71,"Anna Mcclain","stephanierivera@campbell.info","financial_churn"
72,"Sara Rogers","jensenkatherine@andersen.com","engagement_churn"
73,"Pamela Christensen","kathryn42@hotmail.com","financial_churn"
74,"Derek Cook","xromero@gmail.com","financial_churn"
75,"Jason Williams","laura05@mcmahon-wilson.biz","active"
76,"Kimberly Salinas","jeremy43@yahoo.com","financial_churn"
77,"Evan Mitchell","deckeremily@clark.com","active"
78,"Kimberly Sanchez","davidjohnson@hotmail.com","engagement_churn"
79,"Michael Reed","natalie30@yahoo.com","financial_churn"
80,"Samantha Mcdonald","kristin00@hotmail.com","financial_churn"
81,"Matthew Wheeler","kristendean@medina.com","active"
82,"Leslie Duran","jody17@brewer-rose.org","financial_churn"
83,"Dr. John Moore Jr.","alishawalker@gmail.com","active"
84,"Jennifer Hill","baileyethan@davis.com","active"
85,"Jesus Johnson","perrydaniel@gmail.com","active"
86,"Earl Fischer","hcastillo@hotmail.com","financial_churn"
87,"Steven Kane","sanderson@hotmail.com","engagement_churn"
88,"David Hanson","jacksonscott@knight.com","financial_churn"
89,"Kimberly Martinez","loridyer@lewis-mendez.com","active"
90,"Paul Anderson","dicksonjoshua@yahoo.com","engagement_churn"
91,"Elizabeth Jefferson","orrcarolyn@hotmail.com","engagement_churn"
92,"Craig Woods","paula11@yahoo.com","financial_churn"
93,"Deborah Clark","cdean@edwards.com","financial_churn"
94,"Christina Webb","vbrock@gmail.com","financial_churn"
95,"David Taylor","pamela93@ramirez-adams.biz","financial_churn"
96,"Nicole Hobbs","normankayla@gmail.com","financial_churn"
97,"Kathryn Woodward","georgecurry@yahoo.com","active"
98,"Steven Hendrix","aedwards@johnson.com","financial_churn"
99,"Christine Maldonado","qharris@wallace.com","active"
100,"Kevin Knapp","lisacannon@smith-brady.com","active"
101,"Edward Bautista","clarksarah@tanner.com","active"
102,"Darryl Cabrera MD","karen33@vance.net","financial_churn"
103,"Karina Hardin","wilsondavid@peters.com","active"
104,"David Hughes","jennifer20@gmail.com","engagement_churn"
105,"David Oconnor","robynjones@vaughn.org","active"
106,"Nicole Le","warrenfrederick@clark.com","financial_churn"
107,"Cheryl Rodriguez","nreyes@yahoo.com","financial_churn"
108,"Adam Cummings","ashleyfernandez@gmail.com","engagement_churn"
109,"Ricky Bates","griffindustin@spencer-torres.com","financial_churn"
110,"Michael Mays","brittanyhunter@hotmail.com","financial_churn"
111,"Natalie Hodge","michaelshah@ramirez.net","financial_churn"
112,"Cathy Hanson","brandon61@harvey-hernandez.biz","active"
113,"Crystal Castaneda","kevin39@harrison.org","engagement_churn"
114,"Caitlyn Weaver","marcdaniel@yahoo.com","financial_churn"
115,"Alyssa Anderson","jamesfreeman@hotmail.com","financial_churn"
116,"David Singleton","lolsen@gmail.com","engagement_churn"
117,"Katherine Henderson","xjohnson@hotmail.com","financial_churn"
118,"Angela Ross","isaacmatthews@barker-pitts.com","active"
119,"Jacob Gray","andrecampos@gmail.com","engagement_churn"
120,"Lauren Rodriguez","zbentley@hotmail.com","financial_churn"
121,"William Jones","joycejohnson@ford.com","financial_churn"
122,"Christopher Hill","kevingoodman@bennett.org","financial_churn"
123,"Matthew Yu MD","matthewschultz@jones.com","financial_churn"
124,"Donald White","lisajones@gmail.com","engagement_churn"
125,"Joshua Morris","monica28@yahoo.com","active"
126,"Timothy Forbes","tmartinez@reese.com","financial_churn"
127,"Melissa Williams","kellysophia@yahoo.com","financial_churn"
128,"Michael Morse","williamramirez@gmail.com","engagement_churn"
129,"Sandra Salazar","zhiggins@gmail.com","engagement_churn"
130,"Juan Castillo","guerraanthony@gmail.com","engagement_churn"
131,"Kevin Gonzales","samanthabennett@miller.com","active"
132,"Tricia Sweeney","shannon93@hotmail.com","financial_churn"
133,"Manuel Sullivan","mckinneypatricia@smith.info","engagement_churn"
134,"Donna Washington","johnsondavid@parsons.com","financial_churn"
135,"Marcia Travis","ronald84@yahoo.com","engagement_churn"
136,"Patricia Erickson","zedwards@yahoo.com","active"
137,"Barbara Rodriguez","abird@yahoo.com","active"
138,"Michael Dillon","rowethomas@gmail.com","financial_churn"
139,"Amy Wheeler","zrodgers@mueller.biz","engagement_churn"
140,"Kathy Young","eclay@hotmail.com","engagement_churn"
141,"Zachary Merritt Jr.","zcarr@richards.com","financial_churn"
142,"Leslie Durham","alejandrokelley@yahoo.com","engagement_churn"
143,"Raymond Perry","frank98@gmail.com","active"
144,"Robert Hall","sarahhill@gmail.com","financial_churn"
145,"Jeremy Rivera","jblack@sherman.com","financial_churn"
146,"Megan Hardy","washingtonmichael@gmail.com","engagement_churn"
147,"David Reyes","ashleyhenry@lopez.org","engagement_churn"
148,"Daniel Henderson","austinwagner@gmail.com","active"
149,"Kristina Williams","awilliams@yahoo.com","financial_churn"
150,"Devon Wong","rebekahjordan@yahoo.com","active"
151,"Ashley Weber","eric91@romero.com","active"
152,"Brian Lucas","lawrence58@salazar-watson.net","financial_churn"
153,"Kari Santana","austin18@hotmail.com","engagement_churn"
154,"Tyler Martinez","michaelzamora@hotmail.com","active"
155,"David Spencer","susan34@hotmail.com","financial_churn"
156,"Sara Mueller","njackson@gmail.com","financial_churn"
157,"Stacy Collins","vincent58@gmail.com","engagement_churn"
158,"Sydney Adkins","sandra99@gmail.com","financial_churn"
159,"Julie Bennett","rebecca28@hotmail.com","active"
160,"Brady Ryan","saramayer@yahoo.com","engagement_churn"
161,"Joshua Smith","nicholas65@dougherty.com","engagement_churn"
162,"David Cruz","sara79@gmail.com","financial_churn"
163,"Lauren Garrett","jessica61@wyatt-shaw.com","engagement_churn"
164,"Kyle Jackson","bryce49@thompson.net","financial_churn"
165,"Cody Garcia","spowers@gmail.com","financial_churn"
166,"George Key","francoelijah@becker.com","active"
167,"Veronica Gilbert","paul46@sullivan.net","financial_churn"
168,"Melissa Acevedo","richardponce@valentine.com","engagement_churn"
169,"Vicki Bowers","zrice@cardenas.com","engagement_churn"
170,"Ryan Johnson","kevin87@hotmail.com","engagement_churn"
171,"Kenneth Nelson","bfitzgerald@hansen-richardson.com","engagement_churn"
172,"Timothy Gomez","jacob23@morales.net","engagement_churn"
173,"Jeffrey Garcia","sharongilbert@gmail.com","financial_churn"
174,"Christopher Watson","clarkalec@shelton.net","financial_churn"
175,"Kenneth Hayes","kimberly65@hotmail.com","engagement_churn"
176,"Matthew Mcdonald","fbailey@gmail.com","financial_churn"
177,"Bryan Smith","leeerin@yahoo.com","financial_churn"
178,"Jean Martinez","millerjennifer@yahoo.com","engagement_churn"
179,"Phillip Sanchez","flang@jackson-zavala.biz","financial_churn"
180,"Steven Anderson","gutierrezjonathan@yahoo.com","engagement_churn"
181,"Kristi Walker","bankslance@hotmail.com","active"
182,"Kimberly Thomas MD","samanthahooper@taylor-farrell.com","financial_churn"
183,"Susan Marshall","molly82@yahoo.com","financial_churn"
184,"Sara Shaw","robin58@colon.com","financial_churn"
185,"Kelly Curtis","hullkelly@gmail.com","active"
186,"Laurie Johnson","gjohnson@dickson.com","engagement_churn"
187,"Jessica Knight","kelly67@gmail.com","financial_churn"
188,"Melissa Myers","andersenpamela@henderson.com","engagement_churn"
189,"Zachary Kim","bishopkristina@yahoo.com","financial_churn"
190,"Leon Landry","emilyproctor@hotmail.com","financial_churn"
191,"Wanda Pena","jefferyhale@sanchez-barrett.com","financial_churn"
192,"David Rice","william04@yahoo.com","financial_churn"
193,"Anthony Collins","amandagreen@yahoo.com","engagement_churn"
194,"Katherine Griffin","kelli95@gmail.com","financial_churn"
195,"Christina Ford","bryantkevin@escobar.info","financial_churn"
196,"John Roberts","robinsonkristopher@yahoo.com","active"
197,"Frances Combs","diananichols@gmail.com","financial_churn"
198,"Steven Burgess","scottmccoy@riley.info","active"
199,"Shane Gibbs","brownjo@fields.com","financial_churn"
200,"Tyrone Roberts","sarahscott@bryant-jackson.com","financial_churn"
201,"Belinda Sims","barnesstephen@thomas.info","engagement_churn"
202,"Rebecca Logan","xevans@hotmail.com","active"
203,"Monica Simpson","carmenjones@dudley.net","financial_churn"
204,"Jeremiah Ramirez","jerrylucas@jennings-morris.org","financial_churn"
205,"Cory Williams","meganmartin@harding.info","engagement_churn"
206,"Michele White","chughes@vega.org","financial_churn"
207,"Nicole Dickerson","thomas67@anderson.com","engagement_churn"
208,"Samuel Meyers","timothy08@gmail.com","engagement_churn"
